         6841941 function calls (6787448 primitive calls) in 10.877 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6364    0.003    0.000    0.004    0.000 common.py:316(apply_if_callable)
        2    0.002    0.001    0.004    0.002 {pandas._libs.lib.fast_unique_multiple_list_gen}
      263    0.003    0.000    0.004    0.000 arraysetops.py:299(_unique1d)
        1    0.000    0.000    0.004    0.004 concat.py:24(concat)
     2488    0.001    0.000    0.004    0.000 datetimelike.py:663(maybe_unwrap_index)
     4683    0.003    0.000    0.004    0.000 inspect.py:59(isclass)
     2405    0.004    0.000    0.004    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       32    0.000    0.000    0.004    0.000 algorithms.py:38(_ensure_data)
        4    0.000    0.000    0.004    0.001 managers.py:1696(form_blocks)
        4    0.000    0.000    0.004    0.001 construction.py:254(_homogenize)
     1625    0.002    0.000    0.004    0.000 managers.py:291(__len__)
     3247    0.002    0.000    0.004    0.000 managers.py:927(_consolidate_inplace)
        1    0.000    0.000    0.003    0.003 frame.py:4605(drop_duplicates)
     1766    0.001    0.000    0.003    0.000 numpy_.py:170(__array__)
     9138    0.003    0.000    0.003    0.000 managers.py:143(ndim)
      908    0.002    0.000    0.003    0.000 base.py:3940(__getitem__)
     1481    0.002    0.000    0.003    0.000 cast.py:1218(construct_1d_ndarray_preserving_na)
        1    0.000    0.000    0.003    0.003 concat.py:383(get_result)
    16552    0.003    0.000    0.003    0.000 numeric.py:113(is_all_dates)
      865    0.001    0.000    0.003    0.000 generic.py:3070(_set_as_cached)
     1619    0.002    0.000    0.003    0.000 generic.py:144(_init_mgr)
        1    0.000    0.000    0.003    0.003 construction.py:170(init_dict)
     7515    0.002    0.000    0.003    0.000 {pandas._libs.algos.ensure_int64}
    15684    0.003    0.000    0.003    0.000 series.py:338(_constructor)
     9152    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x000000006EA691E0}
     1623    0.003    0.000    0.003    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
      284    0.003    0.000    0.003    0.000 {pandas._libs.algos.take_2d_axis0_float64_float64}
        1    0.000    0.000    0.003    0.003 frame.py:4639(duplicated)
     1734    0.003    0.000    0.003    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
     4148    0.003    0.000    0.003    0.000 base.py:633(_reset_identity)
     2029    0.002    0.000    0.003    0.000 numeric.py:3054(__init__)
     1620    0.003    0.000    0.003    0.000 {method 'take' of 'numpy.ndarray' objects}
    11580    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
     1621    0.002    0.000    0.003    0.000 indexing.py:2450(convert_to_index_sliceable)
     4813    0.003    0.000    0.003    0.000 {pandas._libs.missing.checknull}
     4058    0.003    0.000    0.003    0.000 {numpy.seterrobj}
    18762    0.002    0.000    0.002    0.000 managers.py:1578(_consolidate_inplace)
     9381    0.002    0.000    0.002    0.000 managers.py:1513(index)
     3971    0.002    0.000    0.002    0.000 {numpy.datetime_data}
