         6966945 function calls (6911152 primitive calls) in 12.633 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       44    0.001    0.000    0.022    0.000 managers.py:1134(insert)
     4682    0.019    0.000    0.022    0.000 _validators.py:325(validate_fillna_kwargs)
     7994    0.007    0.000    0.022    0.000 generic.py:377(_get_axis)
       41    0.000    0.000    0.022    0.001 managers.py:1019(set)
    25966    0.015    0.000    0.021    0.000 series.py:399(name)
     1902    0.002    0.000    0.020    0.000 common.py:1078(is_datetime64_any_dtype)
     2488    0.004    0.000    0.020    0.000 datetimes.py:686(_assert_tzawareness_compat)
     4066    0.009    0.000    0.020    0.000 numeric.py:2656(seterr)
      212    0.001    0.000    0.019    0.000 function_base.py:4641(append)
    20636    0.019    0.000    0.019    0.000 generic.py:5053(__getattr__)
    38598    0.012    0.000    0.018    0.000 common.py:119(<lambda>)
      827    0.002    0.000    0.018    0.000 series.py:865(__getitem__)
    20097    0.005    0.000    0.018    0.000 managers.py:141(<genexpr>)
     4169    0.005    0.000    0.018    0.000 common.py:1545(is_float_dtype)
     2632    0.017    0.000    0.017    0.000 {pandas._libs.algos.take_2d_axis1_int64_int64}
     6911    0.009    0.000    0.017    0.000 dtypes.py:672(construct_from_string)
     4685    0.009    0.000    0.017    0.000 inference.py:381(is_dict_like)
     6239    0.006    0.000    0.017    0.000 common.py:868(is_integer_dtype)
      891    0.001    0.000    0.016    0.000 ops.py:1591(_comp_method_OBJECT_ARRAY)
    36433    0.013    0.000    0.016    0.000 base.py:652(__len__)
     1322    0.016    0.000    0.016    0.000 {pandas._libs.algos.take_2d_axis0_bool_bool}
       44    0.000    0.000    0.016    0.000 base.py:4919(insert)
      878    0.005    0.000    0.016    0.000 managers.py:963(iget)
     2033    0.003    0.000    0.016    0.000 numeric.py:3058(__enter__)
     5496    0.008    0.000    0.016    0.000 datetimes.py:1979(_validate_dt64_dtype)
     8618    0.015    0.000    0.015    0.000 dtypes.py:452(construct_from_string)
     2473    0.012    0.000    0.015    0.000 dtypes.py:786(construct_from_string)
     1823    0.004    0.000    0.015    0.000 common.py:1578(is_bool_dtype)
      878    0.002    0.000    0.015    0.000 frame.py:3349(_box_col_values)
       19    0.000    0.000    0.015    0.001 construction.py:43(arrays_to_mgr)
        4    0.000    0.000    0.015    0.004 construction.py:382(to_arrays)
      277    0.001    0.000    0.015    0.000 arraysetops.py:151(unique)
    12700    0.007    0.000    0.015    0.000 datetimes.py:538(tz)
     1752    0.007    0.000    0.015    0.000 base.py:504(_simple_new)
      827    0.002    0.000    0.015    0.000 base.py:4342(get_value)
    19991    0.008    0.000    0.014    0.000 base.py:5318(ensure_index)
        3    0.000    0.000    0.014    0.005 construction.py:469(_list_of_dict_to_arrays)
    11296    0.014    0.000    0.014    0.000 {numpy.empty}
    52535    0.013    0.000    0.013    0.000 blocks.py:308(dtype)
       15    0.000    0.000    0.013    0.001 construction.py:170(init_dict)
4858/4857    0.003    0.000    0.013    0.000 missing.py:25(isna)
      891    0.013    0.000    0.013    0.000 {pandas._libs.ops.scalar_compare}
     1618    0.013    0.000    0.013    0.000 {pandas._libs.algos.take_2d_axis1_object_object}
     9522    0.013    0.000    0.013    0.000 {method 'copy' of 'numpy.ndarray' objects}
     4543    0.004    0.000    0.012    0.000 common.py:1784(_is_dtype)
     6438    0.005    0.000    0.012    0.000 {pandas._libs.lib.values_from_object}
     2341    0.004    0.000    0.012    0.000 ops.py:1447(_align_method_SERIES)
  390/130    0.001    0.000    0.012    0.000 {operator.eq}
     6354    0.005    0.000    0.012    0.000 managers.py:911(consolidate)
     1604    0.003    0.000    0.012    0.000 blocks.py:2094(__init__)
     5781    0.004    0.000    0.012    0.000 series.py:476(_values)
     1887    0.004    0.000    0.012    0.000 blocks.py:2626(__init__)
     7999    0.009    0.000    0.011    0.000 generic.py:363(_get_axis_name)
     2612    0.002    0.000    0.011    0.000 common.py:605(is_string_dtype)
    17617    0.011    0.000    0.011    0.000 {method 'view' of 'numpy.ndarray' objects}
    24162    0.011    0.000    0.011    0.000 blocks.py:89(_check_ndim)
     6330    0.009    0.000    0.011    0.000 generic.py:349(_get_axis_number)
       44    0.000    0.000    0.010    0.000 base.py:3830(_coerce_scalar_to_index)
4858/4857    0.005    0.000    0.010    0.000 missing.py:105(_isna_new)
        2    0.000    0.000    0.010    0.005 concat.py:24(concat)
    45640    0.010    0.000    0.010    0.000 managers.py:1488(_block)
    23010    0.004    0.000    0.010    0.000 {hash}
     7638    0.010    0.000    0.010    0.000 {numpy.arange}
