         6841678 function calls (6787189 primitive calls) in 13.844 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4715    0.001    0.000    0.001    0.000 managers.py:1572(is_consolidated)
     2673    0.001    0.000    0.001    0.000 {method 'startswith' of 'unicode' objects}
        2    0.000    0.000    0.001    0.001 generic.py:3171(_set_item)
     4976    0.001    0.000    0.001    0.000 datetimes.py:2020(validate_tz_from_dtype)
     4985    0.001    0.000    0.001    0.000 blocks.py:165(internal_values)
        2    0.000    0.000    0.001    0.001 managers.py:1019(set)
        2    0.000    0.000    0.001    0.001 threading.py:597(wait)
        1    0.000    0.000    0.001    0.001 topology.py:505(_update_servers)
        1    0.000    0.000    0.001    0.001 concat.py:237(__init__)
     4970    0.001    0.000    0.001    0.000 blocks.py:161(external_values)
        3    0.000    0.000    0.001    0.000 algorithms.py:132(_reconstruct_data)
       32    0.001    0.000    0.001    0.000 {method 'acquire' of 'thread.lock' objects}
        1    0.000    0.000    0.001    0.001 frame.py:4203(reset_index)
       10    0.000    0.000    0.001    0.000 server.py:40(open)
        1    0.000    0.000    0.001    0.001 _decorators.py:195(wrapper)
        1    0.000    0.000    0.001    0.001 frame.py:3942(rename)
        4    0.000    0.000    0.001    0.000 frame.py:4685(<genexpr>)
       13    0.001    0.000    0.001    0.000 managers.py:1841(_stack_arrays)
       10    0.000    0.000    0.001    0.000 monitor.py:71(open)
      260    0.000    0.000    0.001    0.000 datetimelike.py:393(__array__)
        2    0.000    0.000    0.001    0.000 threading.py:309(wait)
        1    0.000    0.000    0.001    0.001 generic.py:960(rename)
       10    0.000    0.000    0.001    0.000 {any}
     6325    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_integer}
        1    0.000    0.000    0.001    0.001 frame.py:3454(insert)
     4700    0.001    0.000    0.001    0.000 base.py:704(ndim)
      865    0.001    0.000    0.001    0.000 blocks.py:332(iget)
      908    0.001    0.000    0.001    0.000 common.py:144(cast_scalar_indexer)
     4704    0.001    0.000    0.001    0.000 base.py:1396(nlevels)
     6365    0.001    0.000    0.001    0.000 {callable}
        3    0.000    0.000    0.001    0.000 base.py:3830(_coerce_scalar_to_index)
     1914    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 concat.py:440(_get_new_axes)
