         7577645 function calls (7535716 primitive calls) in 22.257 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    73315    0.034    0.000    0.034    0.000 _weakrefset.py:70(__contains__)
      260    0.000    0.000    0.033    0.000 managers.py:509(setitem)
     8439    0.005    0.000    0.033    0.000 arrays.py:7(extract_array)
    11611    0.011    0.000    0.032    0.000 range.py:330(equals)
     1726    0.010    0.000    0.031    0.000 managers.py:306(_verify_integrity)
    62897    0.013    0.000    0.031    0.000 {max}
     1725    0.005    0.000    0.031    0.000 base.py:4051(equals)
     4046    0.008    0.000    0.031    0.000 printing.py:156(pprint_thing)
    18256    0.010    0.000    0.031    0.000 integer.py:80(construct_from_string)
      131    0.002    0.000    0.030    0.000 managers.py:1887(_consolidate)
      130    0.002    0.000    0.029    0.000 concat.py:475(_get_concat_axis)
      130    0.001    0.000    0.029    0.000 managers.py:1988(_transform_index)
      260    0.003    0.000    0.029    0.000 blocks.py:800(setitem)
     7840    0.012    0.000    0.029    0.000 base.py:3940(__getitem__)
     1461    0.010    0.000    0.028    0.000 managers.py:1841(_stack_arrays)
     3526    0.002    0.000    0.028    0.000 format.py:943(<lambda>)
9964/8014    0.004    0.000    0.028    0.000 {all}
     2069    0.002    0.000    0.028    0.000 common.py:1431(needs_i8_conversion)
     1464    0.016    0.000    0.028    0.000 indexing.py:2575(maybe_convert_indices)
    10982    0.004    0.000    0.028    0.000 missing.py:25(isna)
    17373    0.012    0.000    0.028    0.000 common.py:746(is_dtype_equal)
     8304    0.008    0.000    0.027    0.000 ops.py:43(get_op_result_name)
     2907    0.002    0.000    0.027    0.000 numeric.py:541(asanyarray)
    17630    0.007    0.000    0.027    0.000 __init__.py:344(strlen)
    22837    0.027    0.000    0.027    0.000 generic.py:127(__init__)
    13150    0.008    0.000    0.027    0.000 generic.py:377(_get_axis)
    32714    0.019    0.000    0.026    0.000 series.py:399(name)
     2358    0.005    0.000    0.026    0.000 algorithms.py:1250(wrapper)
     2618    0.004    0.000    0.026    0.000 datetimelike.py:729(_hasnans)
     2084    0.026    0.000    0.026    0.000 {pandas._libs.lib.maybe_convert_objects}
    10513    0.010    0.000    0.025    0.000 generic.py:5135(f)
      262    0.001    0.000    0.025    0.000 generic.py:3171(_set_item)
     1985    0.004    0.000    0.025    0.000 numpy_.py:127(__init__)
